n,time,variables,clauses
5,0.00040180000360123813,15,35
6,0.0019299999985378236,24,66
7,0.0075517999939620495,35,112
8,0.04984249998233281,48,176
9,0.3157962000113912,63,261
10,2.5274040999938734,80,370
11,23.492083500023,99,506
12,238.248128599982,120,672
