n,time,variables,clauses
5,0.00041500001680105925,15,35
6,0.001477800018619746,24,66
7,0.007546100008767098,35,112
8,0.052485199994407594,48,176
9,0.3463789999950677,63,261
10,2.803268800023943,80,370
11,24.831425100011984,99,506
12,258.03660760002094,120,672
