n,time,variables,clauses
5,0.00034389999927952886,15,35
6,0.0014110000047367066,24,66
7,0.0077157999912742525,35,112
8,0.043558600009419024,48,176
9,0.3043746000039391,63,261
10,2.4577948999940418,80,370
11,21.95874639999238,99,506
12,241.3106971999805,120,672
