n,time,variables,clauses
5,5.420000525191426e-05,10,25
6,0.0004076999903190881,18,51
7,0.0019703999860212207,28,91
8,0.010898000007728115,40,148
9,0.07045709999511018,54,225
10,0.4862196999893058,70,325
11,3.8219246999942698,88,451
12,34.94963980000466,108,606
13,357.40823840000667,130,793
