n,time,variables,clauses
5,6.680001388303936e-05,10,25
6,0.00038419998600147665,18,51
7,0.0021249000274110585,28,91
8,0.011479000007966533,40,148
9,0.06486479999148287,54,225
10,0.45171409999602474,70,325
11,3.5682154999813065,88,451
12,31.711438400001498,108,606
13,330.9725264000008,130,793
