n,time,variables,clauses
5,7.890001870691776e-05,10,25
6,0.0009260000078938901,18,51
7,0.002313700009835884,28,91
8,0.013069899985566735,40,148
9,0.06924509999225847,54,225
10,0.4810437000123784,70,325
11,3.976991499977885,88,451
12,31.608381500001997,108,606
13,342.9996933999937,130,793
