n,time,variables,clauses
5,0.0013404000201262534,20,45
6,0.004922599997371435,30,81
7,0.030067899991991,42,133
8,0.20520110000506975,56,204
9,1.6282864999957383,72,297
10,14.655073200003244,90,415
11,150.167388700007,110,561
