n,time,variables,clauses
5,0.00113640000927262,20,45
6,0.0049260999949183315,30,81
7,0.037941599992336705,42,133
8,0.2204329000087455,56,204
9,1.7514467999862973,72,297
10,14.835483900009422,90,415
11,145.9170927000232,110,561
