n,time,variables,clauses
5,0.0012312000035308301,20,45
6,0.005415399995399639,30,81
7,0.03122639999492094,42,133
8,0.2144348000001628,56,204
9,1.7308802000188734,72,297
10,15.310733899998013,90,415
11,159.24726160001592,110,561
