n,time,variables,clauses
5,2.640002639964223e-05,5,15
6,9.079999290406704e-05,12,36
7,0.0004811999970115721,21,70
8,0.0026265000051353127,32,120
9,0.015475599997444078,45,189
10,0.09404840000206605,60,280
11,0.6789682999951765,77,396
12,4.961369199998444,96,540
13,44.30157369998051,117,715
14,448.91784159999224,140,924
