n,time,variables,clauses
5,6.400002166628838e-05,5,15
6,7.419998291879892e-05,12,36
7,0.0006061000167392194,21,70
8,0.002822999987984076,32,120
9,0.014622899994719774,45,189
10,0.09302209998713806,60,280
11,0.6586371999874245,77,396
12,5.151163000002271,96,540
13,45.81894269998884,117,715
14,478.7454917000141,140,924
