n,time,variables,clauses
5,4.25000034738332e-05,5,15
6,0.00015109998639672995,12,36
7,0.0006763999990653247,21,70
8,0.003649400023277849,32,120
9,0.015977299975929782,45,189
10,0.08967679998022504,60,280
11,0.6299856000114232,77,396
12,4.9734399000008125,96,540
13,44.065476100018714,117,715
14,455.9908468000067,140,924
